family_type,family_name
repetitive,Annexin
repetitive,Arm
repetitive,CWbinding1
repetitive,Fer4
repetitive,HEAT
repetitive,HemolysinCabind
repetitive,Hexapep
repetitive,Kelch1
repetitive,LRR1
repetitive,Ldlrecepta
repetitive,Ldlreceptb
repetitive,MORN
repetitive,Mitocarr
repetitive,NEWAnk
repetitive,NEWWD40
repetitive,Nebulin
repetitive,PD40
repetitive,PPR
repetitive,PUF
repetitive,Pentapeptide
repetitive,Sel1
repetitive,TPR1
repetitive,TSP1
repetitive,YadAhead
repetitive,NEWAnk_WithoutP25963
globular,ABCtran
globular,CorA
globular,GDCP
globular,Globin
globular,Glycohydro19
globular,GreAGreB
globular,HelicaseC
globular,MIP
globular,MgtE
globular,PBP
globular,PFLlike
globular,PIN
globular,PPbinding
globular,PUD
globular,PeptidaseC25
globular,Pkinase
globular,Rhomboid
globular,TerB
globular,Thaumatin
globular,ValtRNAsyntC
globular,Filamin
fibrilar,Collagen
control,mix
control,mixScrambled
control,mixUniformDistributed
control,NEWAnk_SCRAMBLED
control,NEWAnk_UNIFORM
control,NEWAnk_TPR1
control,ABCtran_SCRAMBLED
control,ABCtran_UNIFORM
